SampleNumber,SampleName,InputLevel,PercWT,Rep,inTNA
133304,TNA_4E4_0perc_rep1,4_E4,0,1,yes
133305,TNA_9E3_0perc_rep1,9_E3,0,1,yes
133306,TNA_9E2_0perc_rep1,9_E2,0,1,yes
133307,TNA_9E1_0perc_rep1,9_E1,0,1,yes
133308,noTNA_4E4_0perc_rep1,4_E4,0,1,no
133309,noTNA_9E3_0perc_rep1,9_E3,0,1,no
133310,noTNA_9E2_0perc_rep1,9_E2,0,1,no
133311,noTNA_9E1_0perc_rep1,9_E1,0,1,no
133312,TNA_4E4_0perc_rep2,4_E4,0,2,yes
133313,TNA_9E3_0perc_rep2,9_E3,0,2,yes
133314,TNA_9E2_0perc_rep2,9_E2,0,2,yes
133315,TNA_9E1_0perc_rep2,9_E1,0,2,yes
133316,noTNA_4E4_0perc_rep2,4_E4,0,2,no
133317,noTNA_9E3_0perc_rep2,9_E3,0,2,no
133318,noTNA_9E2_0perc_rep2,9_E2,0,2,no
133319,noTNA_9E1_0perc_rep2,9_E1,0,2,no
133320,TNA_4E4_1perc_rep1,4_E4,1,1,yes
133321,TNA_9E3_1perc_rep1,9_E3,1,1,yes
133322,TNA_9E2_1perc_rep1,9_E2,1,1,yes
133323,TNA_9E1_1perc_rep1,9_E1,1,1,yes
133324,noTNA_4E4_1perc_rep1,4_E4,1,1,no
133325,noTNA_9E3_1perc_rep1,9_E3,1,1,no
133326,noTNA_9E2_1perc_rep1,9_E2,1,1,no
133327,noTNA_9E1_1perc_rep1,9_E1,1,1,no
133328,TNA_4E4_1perc_rep2,4_E4,1,2,yes
133329,TNA_9E3_1perc_rep2,9_E3,1,2,yes
133330,TNA_9E2_1perc_rep2,9_E2,1,2,yes
133331,TNA_9E1_1perc_rep2,9_E1,1,2,yes
133332,noTNA_4E4_1perc_rep2,4_E4,1,2,no
133333,noTNA_9E3_1perc_rep2,9_E3,1,2,no
133334,noTNA_9E2_1perc_rep2,9_E2,1,2,no
133335,noTNA_9E1_1perc_rep2,9_E1,1,2,no
133336,TNA_4E4_2perc_rep1,4_E4,2,1,yes
133337,TNA_9E3_2perc_rep1,9_E3,2,1,yes
133338,TNA_9E2_2perc_rep1,9_E2,2,1,yes
133339,TNA_9E1_2perc_rep1,9_E1,2,1,yes
133340,noTNA_4E4_2perc_rep1,4_E4,2,1,no
133341,noTNA_9E3_2perc_rep1,9_E3,2,1,no
133342,noTNA_9E2_2perc_rep1,9_E2,2,1,no
133343,noTNA_9E1_2perc_rep1,9_E1,2,1,no
133344,TNA_4E4_2perc_rep2,4_E4,2,2,yes
133345,TNA_9E3_2perc_rep2,9_E3,2,2,yes
133346,TNA_9E2_2perc_rep2,9_E2,2,2,yes
133347,TNA_9E1_2perc_rep2,9_E1,2,2,yes
133348,noTNA_4E4_2perc_rep2,4_E4,2,2,no
133349,noTNA_9E3_2perc_rep2,9_E3,2,2,no
133350,noTNA_9E2_2perc_rep2,9_E2,2,2,no
133351,noTNA_9E1_2perc_rep2,9_E1,2,2,no
